"('2021-06-15', 'Tuesday')","('2021-06-16', 'Wednesday')","('2021-06-17', 'Thursday')","('2021-06-18', 'Friday')","('2022-06-13', 'Monday')","('2022-06-14', 'Tuesday')","('2022-06-15', 'Wednesday')","('2022-06-16', 'Thursday')","('2022-06-17', 'Friday')","('2023-06-12', 'Monday')","('2023-06-13', 'Tuesday')","('2023-06-14', 'Wednesday')","('2023-06-15', 'Thursday')","('2023-06-16', 'Friday')","('2024-06-11', 'Tuesday')","('2024-06-12', 'Wednesday')","('2024-06-13', 'Thursday')","('2024-06-14', 'Friday')",,
"('2021-06-21', 'Monday')","('2021-06-22', 'Tuesday')","('2021-06-23', 'Wednesday')","('2021-06-24', 'Thursday')","('2021-06-25', 'Friday')","('2022-06-20', 'Monday')","('2022-06-21', 'Tuesday')","('2022-06-22', 'Wednesday')","('2022-06-23', 'Thursday')","('2022-06-24', 'Friday')","('2023-06-19', 'Monday')","('2023-06-20', 'Tuesday')","('2023-06-21', 'Wednesday')","('2024-06-17', 'Monday')","('2024-06-18', 'Tuesday')","('2024-06-19', 'Wednesday')","('2024-06-20', 'Thursday')","('2024-06-21', 'Friday')",,
"('2021-06-28', 'Monday')","('2021-06-29', 'Tuesday')","('2021-06-30', 'Wednesday')","('2021-07-01', 'Thursday')","('2021-07-02', 'Friday')","('2022-06-27', 'Monday')","('2022-06-28', 'Tuesday')","('2022-06-29', 'Wednesday')","('2022-06-30', 'Thursday')","('2022-07-01', 'Friday')","('2023-06-26', 'Monday')","('2023-06-27', 'Tuesday')","('2023-06-28', 'Wednesday')","('2023-06-29', 'Thursday')","('2023-06-30', 'Friday')","('2024-06-24', 'Monday')","('2024-06-25', 'Tuesday')","('2024-06-26', 'Wednesday')","('2024-06-27', 'Thursday')","('2024-06-28', 'Friday')"
"('2021-07-05', 'Monday')","('2021-07-06', 'Tuesday')","('2021-07-07', 'Wednesday')","('2021-07-08', 'Thursday')","('2021-07-09', 'Friday')","('2022-07-04', 'Monday')","('2022-07-05', 'Tuesday')","('2022-07-06', 'Wednesday')","('2022-07-07', 'Thursday')","('2022-07-08', 'Friday')","('2023-07-03', 'Monday')","('2023-07-04', 'Tuesday')","('2023-07-05', 'Wednesday')","('2023-07-06', 'Thursday')","('2023-07-07', 'Friday')","('2024-07-01', 'Monday')","('2024-07-02', 'Tuesday')","('2024-07-03', 'Wednesday')","('2024-07-04', 'Thursday')","('2024-07-05', 'Friday')"
"('2021-07-12', 'Monday')","('2021-07-13', 'Tuesday')","('2021-07-14', 'Wednesday')","('2021-07-15', 'Thursday')","('2021-07-16', 'Friday')","('2022-07-11', 'Monday')","('2022-07-12', 'Tuesday')","('2022-07-13', 'Wednesday')","('2022-07-14', 'Thursday')","('2022-07-15', 'Friday')","('2023-07-10', 'Monday')","('2023-07-11', 'Tuesday')","('2023-07-12', 'Wednesday')","('2023-07-13', 'Thursday')","('2023-07-14', 'Friday')","('2024-07-08', 'Monday')","('2024-07-09', 'Tuesday')","('2024-07-10', 'Wednesday')","('2024-07-11', 'Thursday')","('2024-07-12', 'Friday')"
"('2021-07-19', 'Monday')","('2021-07-20', 'Tuesday')","('2021-07-21', 'Wednesday')","('2021-07-22', 'Thursday')","('2021-07-23', 'Friday')","('2022-07-18', 'Monday')","('2022-07-19', 'Tuesday')","('2022-07-20', 'Wednesday')","('2022-07-21', 'Thursday')","('2022-07-22', 'Friday')","('2023-07-17', 'Monday')","('2023-07-18', 'Tuesday')","('2023-07-19', 'Wednesday')","('2023-07-20', 'Thursday')","('2023-07-21', 'Friday')","('2024-07-15', 'Monday')","('2024-07-16', 'Tuesday')","('2024-07-17', 'Wednesday')","('2024-07-18', 'Thursday')","('2024-07-19', 'Friday')"
"('2021-07-26', 'Monday')","('2021-07-27', 'Tuesday')","('2021-07-28', 'Wednesday')","('2021-07-29', 'Thursday')","('2021-07-30', 'Friday')","('2022-07-25', 'Monday')","('2022-07-26', 'Tuesday')","('2022-07-27', 'Wednesday')","('2022-07-28', 'Thursday')","('2022-07-29', 'Friday')","('2023-07-24', 'Monday')","('2023-07-25', 'Tuesday')","('2023-07-26', 'Wednesday')","('2023-07-27', 'Thursday')","('2023-07-28', 'Friday')","('2024-07-22', 'Monday')","('2024-07-23', 'Tuesday')","('2024-07-26', 'Friday')",,
"('2021-08-02', 'Monday')","('2021-08-03', 'Tuesday')","('2021-08-04', 'Wednesday')","('2021-08-05', 'Thursday')","('2021-08-06', 'Friday')","('2022-08-01', 'Monday')","('2022-08-02', 'Tuesday')","('2022-08-03', 'Wednesday')","('2022-08-04', 'Thursday')","('2022-08-05', 'Friday')","('2023-07-31', 'Monday')","('2023-08-01', 'Tuesday')","('2023-08-02', 'Wednesday')","('2023-08-04', 'Friday')","('2024-07-29', 'Monday')","('2024-07-30', 'Tuesday')","('2024-07-31', 'Wednesday')","('2024-08-01', 'Thursday')","('2024-08-02', 'Friday')",
"('2021-08-09', 'Monday')","('2021-08-10', 'Tuesday')","('2021-08-11', 'Wednesday')","('2021-08-12', 'Thursday')","('2021-08-13', 'Friday')","('2022-08-08', 'Monday')","('2022-08-09', 'Tuesday')","('2022-08-10', 'Wednesday')","('2022-08-11', 'Thursday')","('2022-08-12', 'Friday')","('2023-08-07', 'Monday')","('2023-08-08', 'Tuesday')","('2023-08-09', 'Wednesday')","('2023-08-10', 'Thursday')","('2023-08-11', 'Friday')","('2024-08-05', 'Monday')","('2024-08-06', 'Tuesday')","('2024-08-07', 'Wednesday')","('2024-08-08', 'Thursday')","('2024-08-09', 'Friday')"
"('2021-08-16', 'Monday')","('2021-08-17', 'Tuesday')","('2021-08-18', 'Wednesday')","('2021-08-19', 'Thursday')","('2021-08-20', 'Friday')","('2022-08-15', 'Monday')","('2022-08-16', 'Tuesday')","('2022-08-17', 'Wednesday')","('2022-08-18', 'Thursday')","('2022-08-19', 'Friday')","('2023-08-14', 'Monday')","('2023-08-15', 'Tuesday')","('2023-08-16', 'Wednesday')","('2023-08-17', 'Thursday')","('2023-08-18', 'Friday')","('2024-08-12', 'Monday')","('2024-08-13', 'Tuesday')","('2024-08-14', 'Wednesday')","('2024-08-15', 'Thursday')","('2024-08-16', 'Friday')"
