date,volume,open,high,low,close
2022-03-18,1213000,17.95,18.35,17.9,18.1
2022-03-21,11917000,18.7,19.9,18.6,19.9
2022-03-22,23411000,20.0,21.3,19.9,20.55
2022-03-23,6755000,20.45,20.9,20.0,20.8
2022-03-24,12869000,21.0,22.0,20.85,21.7
2022-03-25,21547000,22.05,22.8,21.1,21.95
2022-03-28,4155000,21.5,21.9,21.3,21.9
2022-03-29,3796000,21.6,21.85,21.05,21.1
2022-03-30,3206000,21.2,21.3,20.45,20.65
2022-03-31,2273000,21.1,21.4,20.65,20.65
2022-04-01,1478000,20.5,20.9,20.2,20.9
2022-04-06,1133000,21.0,21.15,20.75,21.05
2022-04-07,3810000,21.4,21.75,20.25,20.25
2022-04-08,2049000,20.6,21.0,20.25,20.9
2022-04-11,19399000,22.0,22.95,21.6,22.25
2022-04-12,11547000,22.25,23.0,21.6,22.45
2022-04-13,16839000,22.7,23.6,22.25,23.2
2022-04-14,6488000,22.95,23.15,22.45,22.5
2022-04-15,7037000,22.35,23.0,21.75,21.95
2022-04-18,2495000,21.75,21.95,21.2,21.35
2022-04-19,2087000,21.2,22.0,21.2,21.8
2022-04-20,1857000,21.6,21.95,21.4,21.5
2022-04-21,2332000,21.65,21.7,20.65,20.7
2022-04-22,2156000,20.7,21.35,20.35,20.7
2022-04-25,2765000,20.05,20.25,19.2,19.3
2022-04-26,2691000,19.75,19.9,18.9,19.0
2022-04-27,1636000,18.2,18.9,18.1,18.65
2022-04-28,936000,19.0,19.15,18.8,18.85
2022-04-29,758000,19.0,19.0,18.7,18.75
2022-05-03,956000,18.8,19.0,18.3,19.0
2022-05-04,707000,19.2,19.2,18.65,18.7
2022-05-05,586000,19.15,19.15,18.8,18.85
2022-05-06,749000,18.35,18.55,18.15,18.3
2022-05-09,1565000,18.2,18.25,17.0,17.1
2022-05-10,1591000,16.7,17.55,16.4,17.3
2022-05-11,956000,17.2,17.8,17.2,17.4
2022-05-12,1226000,17.45,17.5,16.6,16.6
2022-05-13,550000,16.65,17.05,16.65,16.9
2022-05-16,434000,16.95,17.3,16.9,17.0
